[550, 28, 28]
[10000, 28, 28]
(550, 100)
IncrementalPCA(batch_size=None, copy=True, n_components=100, whiten=False)
[550]
[10000]
Build DT duration: 3579.27439809 s
Size of training set: 500
Pre-pruning accuracy: 0.3996
Size of pre-pruned tree: 153
Height of pre-pruned tree: 46
Prune DT duration: 0.019143819809 s
Post-pruning accuracy (no k-d tree): 0.404
Size of post-pruned tree: 105
Height of post-pruned tree: 44
Prediction: 7 Label: 7
Prediction: 2 Label: 2
Prediction: 1 Label: 1
Prediction: 7 Label: 0
Prediction: 9 Label: 4
Prediction: 1 Label: 1
Prediction: 9 Label: 4
Prediction: 3 Label: 9
Prediction: 5 Label: 5
Prediction: 7 Label: 9
Prediction: 3 Label: 0
Prediction: 6 Label: 6
Prediction: 9 Label: 9
Prediction: 5 Label: 0
Prediction: 1 Label: 1
Prediction: 5 Label: 5
Prediction: 9 Label: 9
Prediction: 7 Label: 7
Prediction: 6 Label: 3
Prediction: 4 Label: 4
Prediction: 9 Label: 9
Prediction: 6 Label: 6
Prediction: 0 Label: 6
Prediction: 5 Label: 5
Prediction: 9 Label: 4
Prediction: 0 Label: 0
Prediction: 9 Label: 7
Prediction: 4 Label: 4
Prediction: 0 Label: 0
Prediction: 1 Label: 1
Prediction: 5 Label: 3
Prediction: 1 Label: 1
Prediction: 3 Label: 3
Prediction: 6 Label: 4
Prediction: 9 Label: 7
Prediction: 8 Label: 2
Prediction: 7 Label: 7
Prediction: 1 Label: 1
Prediction: 2 Label: 2
Prediction: 1 Label: 1
Prediction: 1 Label: 1
Prediction: 7 Label: 7
Prediction: 4 Label: 4
Prediction: 1 Label: 2
Prediction: 1 Label: 3
Prediction: 5 Label: 5
Prediction: 1 Label: 1
Prediction: 7 Label: 2
Prediction: 4 Label: 4
Prediction: 4 Label: 4
Prediction: 6 Label: 6
Prediction: 3 Label: 3
Prediction: 9 Label: 5
Prediction: 3 Label: 5
Prediction: 2 Label: 6
Prediction: 6 Label: 0
Prediction: 4 Label: 4
Prediction: 1 Label: 1
Prediction: 9 Label: 9
Prediction: 5 Label: 5
Prediction: 7 Label: 7
Prediction: 2 Label: 8
Prediction: 9 Label: 9
Prediction: 9 Label: 3
Prediction: 7 Label: 7
Prediction: 8 Label: 4
Prediction: 9 Label: 6
Prediction: 4 Label: 4
Prediction: 3 Label: 3
Prediction: 0 Label: 0
Prediction: 7 Label: 7
Prediction: 0 Label: 0
Prediction: 9 Label: 2
Prediction: 8 Label: 9
Prediction: 1 Label: 1
Prediction: 4 Label: 7
Prediction: 8 Label: 3
Prediction: 5 Label: 2
Prediction: 4 Label: 9
Prediction: 7 Label: 7
Prediction: 9 Label: 7
Prediction: 6 Label: 6
Prediction: 2 Label: 2
Prediction: 7 Label: 7
Prediction: 8 Label: 8
Prediction: 4 Label: 4
Prediction: 7 Label: 7
Prediction: 3 Label: 3
Prediction: 6 Label: 6
Prediction: 1 Label: 1
